"행정구역","2015년_거주자 인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_거주자 인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_거주자 인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_거주자 인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_거주자 인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_거주자 인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_거주자 인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_거주자 인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_거주자 인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"광주광역시 광주광역시 북구 (2917000000)","443,808","176,462","          2.52","220,516","223,292","          0.99","438,453","176,627","          2.48","217,794","220,659","          0.99","436,261","178,447","          2.44","216,531","219,730","          0.99","437,343","182,440","          2.40","216,956","220,387","          0.98","431,057","184,823","          2.33","213,860","217,197","          0.98","428,125","189,968","          2.25","212,327","215,798","          0.98","425,570","194,366","          2.19","211,037","214,533","          0.98","423,343","196,904","          2.15","209,508","213,835","          0.98","420,381","198,163","          2.12","207,790","212,591","          0.98","422,617","201,482","          2.10","208,672","213,945","          0.98"
"광주광역시 북구 중흥1동(2917051000)","3,820","2,044","          1.87","2,091","1,729","          1.21","3,850","2,037","          1.89","2,077","1,773","          1.17","3,747","2,038","          1.84","2,024","1,723","          1.17","4,130","2,215","          1.86","2,212","1,918","          1.15","4,834","2,851","          1.70","2,499","2,335","          1.07","4,950","3,021","          1.64","2,558","2,392","          1.07","4,723","2,944","          1.60","2,441","2,282","          1.07","4,529","2,859","          1.58","2,352","2,177","          1.08","4,390","2,814","          1.56","2,272","2,118","          1.07","4,342","2,848","          1.52","2,244","2,098","          1.07"
"광주광역시 북구 중흥2동(2917052000)","8,603","4,062","          2.12","4,365","4,238","          1.03","8,450","4,055","          2.08","4,296","4,154","          1.03","8,152","3,926","          2.08","4,141","4,011","          1.03","7,190","3,567","          2.02","3,629","3,561","          1.02","6,915","3,533","          1.96","3,488","3,427","          1.02","6,779","3,637","          1.86","3,430","3,349","          1.02","6,797","3,718","          1.83","3,461","3,336","          1.04","8,369","4,348","          1.92","4,235","4,134","          1.02","8,293","4,361","          1.90","4,227","4,066","          1.04","","","","","",""
"광주광역시 북구 중흥3동(2917053000)","5,740","2,885","          1.99","2,994","2,746","          1.09","5,911","3,005","          1.97","3,064","2,847","          1.08","5,692","2,937","          1.94","2,961","2,731","          1.08","4,876","2,562","          1.90","2,599","2,277","          1.14","4,678","2,540","          1.84","2,487","2,191","          1.14","4,829","2,762","          1.75","2,533","2,296","          1.10","4,759","2,803","          1.70","2,502","2,257","          1.11","6,472","3,574","          1.81","3,298","3,174","          1.04","6,510","3,644","          1.79","3,348","3,162","          1.06","","","","","",""
"광주광역시 북구 중흥동(2917053500)","0","0","          0.00","0","0","          0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14,975","8,205","          1.83","7,703","7,272","          1.06"
"광주광역시 북구 중앙동(2917055500)","3,864","2,153","          1.79","2,046","1,818","          1.13","3,716","2,092","          1.78","1,978","1,738","          1.14","3,686","2,131","          1.73","1,955","1,731","          1.13","3,523","2,074","          1.70","1,882","1,641","          1.15","3,265","1,996","          1.64","1,741","1,524","          1.14","3,179","2,020","          1.57","1,691","1,488","          1.14","3,029","1,995","          1.52","1,625","1,404","          1.16","3,881","2,239","          1.73","2,023","1,858","          1.09","3,773","2,166","          1.74","1,973","1,800","          1.10","3,635","2,107","          1.73","1,901","1,734","          1.10"
"광주광역시 북구 임동(2917057000)","9,910","4,261","          2.33","4,970","4,940","          1.01","9,519","4,129","          2.31","4,732","4,787","          0.99","9,146","4,013","          2.28","4,541","4,605","          0.99","8,839","3,934","          2.25","4,378","4,461","          0.98","8,202","3,715","          2.21","4,041","4,161","          0.97","7,843","3,641","          2.15","3,889","3,954","          0.98","9,115","4,435","          2.06","4,494","4,621","          0.97","9,101","4,579","          1.99","4,464","4,637","          0.96","9,027","4,558","          1.98","4,402","4,625","          0.95","13,821","6,729","          2.05","6,761","7,060","          0.96"
"광주광역시 북구 신안동(2917058000)","11,726","5,969","          1.96","6,139","5,587","          1.10","11,428","5,908","          1.93","5,984","5,444","          1.10","10,989","5,788","          1.90","5,764","5,225","          1.10","10,709","5,787","          1.85","5,601","5,108","          1.10","10,753","6,013","          1.79","5,607","5,146","          1.09","11,707","6,640","          1.76","6,116","5,591","          1.09","12,288","7,148","          1.72","6,458","5,830","          1.11","12,461","7,418","          1.68","6,546","5,915","          1.11","12,214","7,322","          1.67","6,387","5,827","          1.10","11,913","7,229","          1.65","6,206","5,707","          1.09"
"광주광역시 북구 용봉동(2917059000)","39,209","15,030","          2.61","19,508","19,701","          0.99","38,546","15,125","          2.55","19,130","19,416","          0.99","38,742","15,460","          2.51","19,285","19,457","          0.99","38,770","15,895","          2.44","19,241","19,529","          0.99","38,515","16,280","          2.37","19,192","19,323","          0.99","38,521","17,069","          2.26","19,185","19,336","          0.99","38,398","17,647","          2.18","19,108","19,290","          0.99","37,533","17,757","          2.11","18,677","18,856","          0.99","37,059","17,871","          2.07","18,415","18,644","          0.99","36,496","17,957","          2.03","18,161","18,335","          0.99"
"광주광역시 북구 운암1동(2917060100)","20,662","7,125","          2.90","10,029","10,633","          0.94","20,652","7,170","          2.88","10,023","10,629","          0.94","20,645","7,283","          2.83","9,991","10,654","          0.94","20,505","7,325","          2.80","9,882","10,623","          0.93","20,019","7,303","          2.74","9,642","10,377","          0.93","19,411","7,295","          2.66","9,349","10,062","          0.93","19,308","7,410","          2.61","9,333","9,975","          0.94","18,834","7,377","          2.55","9,062","9,772","          0.93","18,480","7,330","          2.52","8,904","9,576","          0.93","18,213","7,251","          2.51","8,761","9,452","          0.93"
