"w_idx","islandName","baseDate","baseTime","fcstDate","fcstTime","POP","PTY","PCP","REH","SNO","SKY","TMP","TMN","TMX","UUU","VVV","WAV","VEC","WSD","insertDttm"
"1","신안 반월박지도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","31","","","0.8","7.4","0.5","186","7.4","2024-08-21 14:30:05"
"2","고흥 연홍도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","-0.3","7.2","0.5","177","7.2","2024-08-21 14:30:05"
"3","강진 가우도","20240821","1400","20240821","1500","0","0","강수없음","70","적설없음","1","33","","","1","4","0","194","4.1","2024-08-21 14:30:05"
"4","여수 낭도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","1","7","0.5","188","7.1","2024-08-21 14:30:05"
"5","진도 금호도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","31","","","1.6","6.5","0","194","6.7","2024-08-21 14:30:05"
"6","목포 외달도","20240821","1400","20240821","1500","60","1","5.0mm","75","적설없음","4","32","","","0.8","3.3","0","194","3.4","2024-08-21 14:30:05"
"7","여수 송도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","1.1","6.9","0.5","189","7","2024-08-21 14:30:05"
"8","신안 옥도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","31","","","0.8","7.3","0.5","186","7.3","2024-08-21 14:30:05"
"9","신안 기점소악도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","32","","","1.5","8.8","0.5","190","8.9","2024-08-21 14:30:05"
"10","보성 장도","20240821","1400","20240821","1500","60","1","1.0mm","75","적설없음","4","33","","","0.5","4.3","0","187","4.3","2024-08-21 14:30:05"
"11","신안 선도","20240821","1400","20240821","1500","0","0","강수없음","80","적설없음","1","32","","","1.9","9.1","0.5","192","9.3","2024-08-21 14:30:05"
"12","무안 탄도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","2.3","7","0","198","7.4","2024-08-21 14:30:05"
"13","신안 고이도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","32","","","1.9","7.1","0.5","195","7.3","2024-08-21 14:30:05"
"14","여수 연도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","31","","","1.1","7.1","0.5","189","7.2","2024-08-21 14:30:05"
"15","완도 생일도","20240821","1400","20240821","1500","0","0","강수없음","75","적설없음","1","31","","","-1","7.1","0.5","171","7.2","2024-08-21 14:30:05"
